,Reviews,Polarity,Predicted Polarity
76,no comments review is an image,0,0
77,no comments review is an image,0,0
78,no comments review is an image,0,0
79,no comments review is an image,0,0
80,no comments review is an image,0,0
81,no comments review is an image,0,0
82,no comments review is an image,0,0
83,love that it does not leave a tacky residue,0,0
84,it leaves my face feeling refreshed,1,1
85,great first step in my nightly skincare routine,1,1
86,i am sold,0,0
87,love that it does not leave a tacky residue,0,0
88,it leaves my face feeling refreshed,1,1
89,great first step in my nightly skincare routine,1,1
90,i am sold,0,0
91,this has no fragrance,0,0
92,it removes makeup really easily and cleanly,1,1
93,i do not need a lot of effort to remove my makeup,0,0
94,it is the best micellar water i tried so far,1,1
95,will repurchase,0,0
96,this has no fragrance,0,0
97,it removes makeup really easily and cleanly,1,1
98,i do not need a lot of effort to remove my makeup,0,0
99,it is the best micellar water i tried so far,1,1
100,will repurchase,0,0
101,i have been using this daily for a few months now,0,0
102,my skin has become more appealing and much more under control now,1,1
103,i would definitely recommend this product to anyone,1,1
104,i have been using this daily for a few months now,0,0
105,my skin has become more appealing and much more under control now,1,1
106,i would definitely recommend this product to anyone,1,1
107,no comments review is an image,0,0
108,no comments review is an image,0,0
109,no comments review is an image,0,0
110,no comments review is an image,0,0
111,no comments review is an image,0,0
112,no comments review is an image,0,0
113,i like how this product remove make up in an instant,1,1
114,no need to use several times just to remove your make up,0,0
115,highly recommended with people who has sensitive skin,1,1
116,first time using garnier s micellar water it can cleanse my light makeup well with 1 cotton pad and it is very convenient to use,1,1
117,it can even remove my waterproof eyeliner well,1,1
118,for mascara i will still prefer the oil type of remover,1,1
119,received this product and enjoyed using it,1,1
120,it was light on my skin and did not dry out my skin when i applied it,0,0
121,definitely would recommend it to my friends and family who are looking for a good make up remover,1,1
122,i love how the product removes my makeup completely and keeps my face clean,1,1
123,you do not have to rinse your face after using the makeup remover,0,0
124,i only used 2 facial cottons to remove my makeup,0,0
125,it is that great,1,1
126,just ensure not to pour too much of the solution onto your fails cotton as it will start to create foam when you are swiping the cotton over your face,0,0
127,overall it is a great product,1,1
128,I am loving it,1,1
129,love how it does not irritate my eyes when i remove my eye make up and also the fragrance free as some people may be allergic to certain scent,1,1
130,suitable for my super sensitive skin too as i tend to react almost immediately to a wrong product,1,1
131,it is a gentle cleanser that can remove make up in just 1 swipe,1,1
132,it makes my skin smooth afterwards,1,1
133,i will definitely buy this again,0,0
134,it is a amazing product,1,1
135,this brand of micelles water is a great starter brand and item to trying out or implementing it into your skincare for the first time,0,0
136,price wise it is definitely affordable,1,1
137,definitely soft on the skin,1,1
138,however would require you to a few more applications than the other name brand micellar water which is twice as more expensive to remove all traceable of makeup,-1,-1
139,despite that i think due to that it is is definitely safe for sensitive skin,1,1
140,fragrance free you would probably think it is just normal water but do not worry,1,1
141,you have not been duped,1,1
142,love how this product removes most of my makeup at the end of each day,1,1
143,even though i have oily sensitive skin this product has never caused any issues at all,1,1
144,in fact it makes my skin feel extremely refreshed and helps to matthey my skin,1,1
145,i am currently using this product as my go to makeup remover because of how amazing it is,1,1
146,love,1,1
147,i love how it remove my eye makeup by just one swipe and is so convenient to remove any other make up,1,1
148,i love how this product removes my makeup easily,1,1
149,it is also good for people with dry or sensitive skin,1,1
150,what is best is that it is not oily and it makes my face feels really smooth afterwards,1,1
151,first try out this lanier micellar water it is so gentle to skin no sting sensation on skin someone it can remove waterproof makeup very clean with just 1 cotton pad,1,1
152,it is so amazing,1,1
153,its a nice product although im not really using make up but i think would-be useful for those busy women than you,1,1
154,in one wipe it removes most eye make up efficiently,1,1
155,highly recommended for removal of light make up,1,1
156,for heavy make up just wipe off a few more times and repeat as per desired,0,0
157,product has a light pleasant scent and is gentle not irritable to sensitive skin like mine,1,1
158,very convenient and easy to use,1,1
159,works like what it said,1,1
160,the garnier micellar water is a gentle cleanser that removes make up in one swipe,1,1
161,it is not drying to the skin and is good for sensitive skin,1,1
162,the garnier micellar water is god sent,0,0
163,with just one wipe i can clean away my eyeliner,1,1
164,it helps a lot when i have eyelash extensions,0,0
165,the product is also very gentle on the skin,1,1
166,i have very sensitive skin around my lips but the product did not cause any reaction when i use it to wipe away my lipstick,0,0
167,amazing,1,1
168,the cleansing water is a five star product,0,0
169,i love how it remove my make up in a single swipe on my face,1,1
170,it does not have stony fragrance which is one thing i like,1,1
171,and most importantly it does not cause my skin to be dry indeed gentle to sensitive skin,1,1
172,i love love love this,1,1
173,being blessed with ultra sensitive comb skin I am always searching for the ultimate facial cleanser,1,1
174,I have tried numerous cleansers and cleansing tools including clarisonic but they always make my skin feel tight and my face would itch the next few days causing unsightly dry patches of skin,0,0
175,but this micellar water is my holy grail it is easy to clean my make up and it does not strip my face of its natural oil,1,1
176,so glad to be given this opportunity to try this,1,1
177,it is gentle on skin yet clean thoroughly,1,1
178,no remaining make up on cotton when i clean and time using toner,1,1
179,used for two nights and no redness or allergic reaction,-1,-1
180,i have combined skin and i dont feel tightness or tingling on cheeks area,1,1
181,will definitely recommend to friends,1,1
182,as my face is combination skin so i do not like to use oily based makeup remover and yet this is the best worth product that i have used all the way,0,0
183,it clean all the makeup eye makeup lipstick,1,1
184,easy to remove my makeup lip and eye this micellar cleansing water pink suitable for my oily skin after use not sticky i like it,1,1
185,i am able to remove my make up effortlessly even my eyeliner,1,1
186,using garnier micellar cleansing water i am able to remove my makeup fully by only using with just 2 cotton pads the best point is that it is not oily at all and it does not have any scent,0,0
187,this product is amazing,1,1
188,it really does it jobs in just one swipe your makeup is remove,0,0
189,not much product is needed to take off your makeup too,0,0
190,after removing my makeup with it when i cleanse my face with a face wash the water is almost clear,0,0
191,really love it and will buy again and recommend it to my girlfriends,1,1
192,love this product since it has no fragrances and it wipes away my makeup in one swipe,0,0
193,it does leave any residue and does leave the skin dry,0,0
194,it also does leave skin feeling tacky and its not harsh to the skin either,0,0
195,would totally recommend this to my family and friends,1,1
196,removed makeup effortlessly no tugging on eyelids especially to remove eyeliner and mascara,0,0
197,fully removed all makeup residue with just 2 cotton pads,0,0
198,face felt smooth and not drying after using the micellar water,1,1
199,i have tested this product on my hands with makeup such as foundation eyeliner eyeshadow lipstick eyebrow products,0,0
200,application is really easy to use however it is really big and bulky for travel usage,0,0
201,application does not come with any weird smells or fragrance which is good which means that there int any additional ingredients,0,0
202,makeup is easily removed with this micellar water but it could not remove the liquid lipstick and left a smudge,0,0
203,after usage it leaves skin soft and smooth not tacky like the other brand i have used,1,1
204,overall good product,1,1
205,highly recommend,1,1
206,the micellar water is amazing,1,1
207,the scentless makeup remover looked exactly like water since it is crystal clear and scentless,1,1
208,despite that it removed my makeup effortlessly,1,1
209,my face feels really clean and smooth after each time i use the micellar water,1,1
210,it is also gentle to the skin as my face does not get red after using the product,0,0
211,would definitely purchase more once I am done with this bottle,0,0
212,removes all my make up in one swipe and leaves no sticky residue behind,0,0
213,great for a fast cleanse with no work,1,1
214,does not case break out,-1,-1
215,there is no need for double cleaning,0,0
216,I have switched to micellar type formulas an about a year ago and have tried various brands,0,0
217,lanier micellar cleaning stands out because it does not not sting my eyes,0,0
218,perfect for removing eye makeup,1,1
219,formula is not oily and gentle on the the skin,1,1
220,first time trying micellar cleansing water to remove my make up was quite pleased of the results,1,1
221,because i have sensitive skin and using wrong kind of cleansing products will cause a lot of outbreaks and itch however it does not clean waterproof make up easily,-1,-1
222,nothing short of miraculous,1,1
223,i have noticed not only does it clean my face of all make up residue its also helps prevent breakout and clear breakout when they do occur,1,1
224,i noticed improvement after one use,1,1
225,my skin is doing much better now,1,1
226,i use this product every day to remove my make up including eye make up and this does the job for me,0,0
227,it is scented and i pour a bit onto a cotton pad and gently sweep it all over my face,0,0
228,but it does not remove waterproof make up,0,0
229,i tried the garnier micellar cleansing water for sensitive skin and i love how it leaves my skin fresh and clean,1,1
230,i wet just one piece of cotton and it was able to cover all my face including my neck area,0,0
231,it is scented as well so I am pretty sure there is no alcohol or any harmful ingredients added,0,0
232,my skin is very sensitive and will always become red when irritated i did not feel any sting at all,0,0
233,my favorite is that it does not leave my skin dry after using it,0,0
234,definitely will use again,0,0
235,i have used other micellar water products in the past but they are either too pricey or not very effective,-1,-1
236,i have already tried the garnier micellar water in the past and have been using it ever since,0,0
237,it is really as gentle as it claims yet effective to use,1,1
238,what i really like about it is the price,1,1
239,such a big bottle for such an affordable price,1,1
240,i highly recommend people to try this,1,1
241,this is my first time using the garnier all in 1 micellar cleansing water,0,0
242,it is very effective in removing my makeup especially my eye makeup,1,1
243,i only need 2 piece of cotton square puff to clean half my face,0,0
244,kudos to the product,0,0
245,have always used an oil based make up remover but this product was able to remove my make up and left my skin feeling clean,0,0
246,however it is a bit hard to remove waterproof make up so i still need the oil based make up remover,0,0
247,tried this and it really removed my makeup effectively,1,1
248,very gentle on my skin and it was very easy to use,1,1
249,feels nice on my skin would recommend,1,1
250,using garnier cleansing water to remove my make up makes my skin feels soft and light on the skin,0,0
251,it removes an incredible amount with just a few days of it to the cotton wool,1,1
252,however it takes a while and a few wipes to remove the mascara off properly,1,1
253,just using a few days this cleansing water does do the trick to removing my make up almost completely,0,0
254,i have extremely sensitive skin and i am not able to use any oil based make up removers,1,1
255,i have tried other brands of micellar cleansing water before but i feel that garnier s all in 1 micellar cleansing water is very suitable for my sensitive skin and it works wonderfully,1,1
256,garnier s all in 1 micellar cleansing water removes my make up with just a single and quick swipe and it also leaves my skin feeling fresh and non sticky too,1,1
257,thus there is no need to wash my face afterwards,0,0
258,i personally use garnier s all in 1 micellar cleansing water to remove the dusts oil and impurities off my face at the end of a busy and hectic day and i love it a lot,0,0
259,the packaging is really cute and it is affordable too,1,1
260,i would continue to use this and i would also highly recommend this to anyone who has sensitive skin and is looking to invest in good micellar cleansing water,1,1
261,this is indeed a magical water that removes makeup super easily and its no rinse feature is another plus point,1,1
262,thank you,0,0
263,this micellar cleansing water works wonders,1,1
264,it removes all the makeup on my face within 2 swaps,0,0
265,i will definitely recommend it to friends and love ones and i will definitely buy more,1,1
266,indeed used only 1 cotton pad to remove my make up for the entire face,0,0
267,i feel refreshed and it feels like i already washed my face with a soap,1,1
268,for the packaging i prefer smaller size since expiration is just for mm,1,1
269,and for the 400ml for mm is too much as you only need a bit amount to remove makeup unless you wear make up every single day,0,0
270,and it is quite pricey compare to other micellar cleansing water,-1,-1
271,i have used other brands of micellar water before and i find that garnier s version is much more gentle and remove makeup really easily,1,1
272,it is also hydration for me as i have dry skin,0,0
273,would definitely recommend everyone to try,1,1
274,thanks try and review for letting have the chance to try it,0,0
275,recently i also just bought micellar cleansing water but a different brand there is a big difference for this two,0,0
276,i more likely prefer the garnier after trying i found out that it is more effective on removing oil and my light make up,1,1
277,i like it more than the one i bought in pharmacy store i had use more cotton and more micellar water for the other brand,0,0
278,for garnier i used only one that is a thumbs up for me make it 2 thumbs up,0,0
279,cleanser was gentle on my skin,1,1
280,it did not leave my skin red or painful after using it compared to others I have used before,0,0
281,price wise definitely a good investment,1,1
282,this will be my go to cleanser from now on,0,0
283,i have been using other micellar water and i must say garnier s micellar water removes makeup much easily,0,0
284,with 2 cotton pad and I am done,0,0
285,yesterday night was my first try from garnier brand,0,0
286,it was safely delivered to me days ago,1,1
287,thank you garnier,0,0
288,i was so eager to try coz firstly it mentioned that its removal for light makeup which i am,0,0
289,i have been a light makeup for years now,0,0
290,before that i used to have heavy makeup on,0,0
291,secondly it mentioned its for sensitive skin,1,1
292,i have this sensitivity issue under my eyes nose area for years now,0,0
293,yesterday night tried and tested,0,0
294,and im loving it,1,1
295,i do not feel the tingling heavy on my sensitive areas though,1,1
296,and best best after removing it you can just straightaway go to bed,1,1
297,really,0,0
298,no need to rinse after removing,0,0
299,wow garnier,1,1
300,i have used other brand which is have been my fave,1,1
301,but that particular brand when i have used the sticky feeling exist so i have to rinse to get rid of the feeling ok my face,0,0
302,for garnier its not though,0,0
303,amazing,1,1
304,garnier mw you are on my fave list now,1,1
305,thank you garnier for sending over to me to try,0,0
306,love it,1,1
307,garnier all in 1 micellar cleansing water takes my makeup off gently and in one swipe,0,0
308,i absolutely love it as it does not leave my skin feeling greasy but moisturiser at the same time,0,0
309,no oily residue,0,0
310,i am most impressed that when i am taking off eye makeup i do not need to do a lot of rubbing plus it does not burn at all,1,1
311,removes most make up after 1 swipe,0,0
312,removes all make up after 2 swipes,0,0
313,was unfortunate enough to accidentally get some make up remover in eye but it did not irritate the eye much,0,0
314,has this unsettling smell when used but overall a good and effective make up remover,0,0
315,i have sensitive skin and this remover does it is job without irritating my skin further like most removers do,0,0
316,it is able to remove most face makeup effectively but would not use for eye makeup,0,0
317,good cleansing water to remove my bb cream effectively,1,1
318,skin felt moisturiser and non sticky,1,1
319,worth it for the price,1,1
320,i have acne prone skin and i wear makeup on most days,0,0
321,this helps to remove my makeup at the end of my wear even if i have a setting spray on,0,0
322,however i do feel after i use it that it leaves a slight film to my face and that i would still need to go in with a cleanser afterwards to feel more fresher,0,0
323,it is not a bad product overall,1,1
324,i wear make up on a daily basis and i hate having to take it all off at the end of the day,-1,-1
325,however with the garnier micellar water it does take much time and effort,0,0
326,it is so gentle and effective in removing my make up even my water proof mascara and eyeliner,1,1
327,been using it for over a year because of how amazing it is,1,1
328,tried for 1 month,0,0
329,after applying not dry and also feeling not sticky too,1,1
330,overall just suitable for me,1,1
331,it is really gentle on skin,1,1
332,just a quick gentle swipe can remove most of my makeup,1,1
333,it is usually dreadful for me to remove my makeup after a long day but this product made it easier as it can take less than 5 mins to remove a full face makeup,0,0
334,the price is reasonable and packaging is simple yet elegant,1,1
335,i highly recommend using the garnier micellar water as a makeup cleanser,1,1
336,it is gentle for everyday wear and does not tug on your skin or leave behind an oily residue as other residues,0,0
337,I am only using foundation concealer and eyebrow pencil on my face and with only a simple circular swipe on my face with the cleanser its removed completely,0,0
338,pic 2 not only does it removes makeup it removes the dirt on it as well,0,0
339,after using the micellar water there is no need to rinse your face afterwards,0,0
340,i highly recommend using the garnier micellar water as a makeup cleanser,1,1
341,it is gentle for everyday wear and does not tug on your skin or leave behind an oily residue as other residues,0,0
342,I am only using foundation concealer and eyebrow pencil on my face and with only a simple circular swipe on my face with the cleanser its removed completely,0,0
343,pic 2 not only does it removes makeup it removes the dirt on it as well,0,0
344,after using the micellar water there is no need to rinse your face afterwards,0,0
345,it removes everything even my stubborn waterproof mascara out pretty quickly without having to scrub out hard,0,0
346,it is very soft and friendly to skin,1,1
347,it removes everything even my stubborn waterproof mascara out pretty quickly without having to scrub out hard,0,0
348,it is very soft and friendly to skin,1,1
349,using this for a month now,0,0
350,and i can say that it is very light on the skin it almost feel like i am applying plain water on my face,0,0
351,i love that it does not have any strong smell because my skin is too sensitive,0,0
352,love to use it everyday to clean my make up,1,1
353,highly recommend,1,1
354,using this for a month now,0,0
355,and i can say that it is very light on the skin it almost feel like i am applying plain water on my face,0,0
356,i love that it does not have any strong smell because my skin is too sensitive,0,0
357,love to use it everyday to clean my make up,1,1
358,highly recommend,1,1
359,i use this every day to take off my makeup,0,0
360,it never irritates my sensitive skin and does a good job at removing my makeup,1,1
361,except the really waterproof mascara,0,0
362,i use the waterproof makeup removing version for that,0,0
363,also a great product,1,1
364,i use this every day to take off my makeup,0,0
365,it never irritates my sensitive skin and does a good job at removing my makeup,1,1
366,except the really waterproof mascara,0,0
367,i use the waterproof makeup removing version for that,0,0
368,also a great product,1,1
369,it cleans off even heavy makeup very easily,1,1
370,i often use it and it does not feel harsh on the skin,-1,-1
371,it is suitable for sensitive skin and its formula feels light and refreshing,1,1
372,overall it is a good product that is worth the purchase,1,1
373,it cleans off even heavy makeup very easily,1,1
374,i often use it and it does not feel harsh on the skin,-1,-1
375,it is suitable for sensitive skin and its formula feels light and refreshing,1,1
376,overall it is a good product that is worth the purchase,1,1
377,easy application on wanting to remove my makeup glides on the face easily,1,1
378,bonus is when u re still gd if u dont double cleanse ur face,0,0
379,easy application on wanting to remove my makeup glides on the face easily,1,1
380,bonus is when u re still gd if u dont double cleanse ur face,0,0
381,cleans my makeup well although when im wearing full makeup on,1,1
382,90 makeup clear on one go of cotton swipe,1,1
383,cleans my makeup well although when im wearing full makeup on,1,1
384,90 makeup clear on one go of cotton swipe,1,1
385,what i love about garnier micellar cleansing water is that unlike other micellar water it is not sticky once you spill that on your face,1,1
386,what i love about garnier micellar cleansing water is that unlike other micellar water it is not sticky once you spill that on your face,1,1
387,I have tried this and the waterproof version blue cap and i prefer the one for waterproof makeup much more just because it removes makeup better faster,1,1
388,i wear light makeup with long wearing liquid lipstick kat von d and I am one who prefers to remove makeup all at one go instead of having to use a separate eye lip makeup remover,0,0
389,while this still works it just requires a little bit more effort to remove makeup entirely,0,0
390,i also like that this does not irritate my skin or eyes,1,1
391,I have tried this and the waterproof version blue cap and i prefer the one for waterproof makeup much more just because it removes makeup better faster,1,1
392,i wear light makeup with long wearing liquid lipstick kat von d and I am one who prefers to remove makeup all at one go instead of having to use a separate eye lip makeup remover,0,0
393,while this still works it just requires a little bit more effort to remove makeup entirely,0,0
394,i also like that this does not irritate my skin or eyes,1,1
395,i have used this previously to remove all makeup on my face including eye make up,0,0
396,i now use it to remove only eye makeup not waterproof it does not sting my eyes and it has never made me break out,0,0
397,a bonus is that it is really affordable,1,1
398,i have used this previously to remove all makeup on my face including eye make up,0,0
399,i now use it to remove only eye makeup not waterproof it does not sting my eyes and it has never made me break out,0,0
400,a bonus is that it is really affordable,1,1
401,good for nightwear makeup as indicated on bottle,1,1
402,cleans efficiently and effectively,1,1
403,however for waterproof makeup i still prefer oil based remover to reduce the amount of tugging and rubbing,0,0
404,good for nightwear makeup as indicated on bottle,1,1
405,cleans efficiently and effectively,1,1
406,however for waterproof makeup i still prefer oil based remover to reduce the amount of tugging and rubbing,0,0
407,a very good chance to try this micellar cleansing water from garnier as my allergies suddenly made it is appearance again,0,0
408,review this micellar water does what it says,0,0
409,it removes my eyes and lips make up instantly in 1 cotton pad,0,0
410,it is a very easy to use product as i just need to gently press hold and wipe my face in circular motion,0,0
411,my face never shows redness during the two days i use this product,0,0
412,it cleanses soothes and more importantly it does not irritate my sensitive skin,1,1
413,a very good chance to try this micellar cleansing water from garnier as my allergies suddenly made it is appearance again,0,0
414,review this micellar water does what it says,0,0
415,it removes my eyes and lips make up instantly in 1 cotton pad,0,0
416,it is a very easy to use product as i just need to gently press hold and wipe my face in circular motion,0,0
417,my face never shows redness during the two days i use this product,0,0
418,it cleanses soothes and more importantly it does not irritate my sensitive skin,1,1
419,i like how this product remove make up in an instant,1,1
420,no need to use several times just to remove your make up,0,0
421,highly recommended with people who has sensitive skin,1,1
422,when i purchased this product i was a little bit hesitant but when i got to try this product it really satisfies me,0,0
423,it is really nice to use,1,1
424,it is really recommendable for others to try out,0,0
425,the packaging is nice the way it completely removes your make up is so legit,1,1
426,and it is legit amazing,1,1
427,i would really love to buy this product again,1,1
428,and i would recommend it to my friends so that they can witness how beautiful and amazing this product is,1,1
429,i just really love how it feels on my skin and face,1,1
430,i just really love everything about it,1,1
431,removing makeup has never been this effortless before,-1,-1
432,it does not leave an oily feeling behind like other brands of remover,1,1
433,i will definitely use it again and the best part is its suitable for sensitive skin,1,1
434,it does not sting my face like some products would,1,1
435,removing makeup has never been this effortless before,-1,-1
436,it does not leave an oily feeling behind like other brands of remover,1,1
437,i will definitely use it again and the best part is its suitable for sensitive skin,1,1
438,it does not sting my face like some products would,1,1
439,received this product and enjoyed using it,1,1
440,it was light on my skin and did not dry out my skin when i applied it,0,0
441,definitely would recommend it to my friends and family who are looking for a good make up remover,1,1
442,first time using garnier s micellar water it can cleanse my light makeup well with 1 cotton pad and it is very convenient to use,1,1
443,it can even remove my waterproof eyeliner well,1,1
444,for mascara i will still prefer the oil type of remover,1,1
445,in one wipe it removes most eye make up efficiently,1,1
446,highly recommended for removal of light make up,1,1
447,for heavy make up just wipe off a few more times and repeat as per desired,0,0
448,product has a light pleasant scent and is gentle not irritable to sensitive skin like mine,1,1
449,very convenient and easy to use,1,1
450,works like what it said,1,1
451,it is a gentle cleanser that can remove make up in just 1 swipe,1,1
452,it makes my skin smooth afterwards,1,1
453,i will definitely buy this again,0,0
454,it is a amazing product,1,1
455,love how it does not irritate my eyes when i remove my eye make up and also the fragrance free as some people may be allergic to certain scent,1,1
456,suitable for my super sensitive skin too as i tend to react almost immediately to a wrong product,1,1
457,first try out this lanier micellar water it is so gentle to skin no sting sensation on skin someone it can remove waterproof makeup very clean with just 1 cotton pad,1,1
458,it is so amazing,1,1
459,this brand of micelles water is a great starter brand and item to trying out or implementing it into your skincare for the first time,0,0
460,price wise it is definitely affordable,1,1
461,definitely soft on the skin,1,1
462,however would require you to a few more applications than the other name brand micellar water which is twice as more expensive to remove all traceable of makeup,-1,-1
463,despite that i think due to that it is is definitely safe for sensitive skin,1,1
464,fragrance free you would probably think it is just normal water but do not worry,1,1
465,you have not been duped,1,1
466,i love how the product removes my makeup completely and keeps my face clean,1,1
467,you do not have to rinse your face after using the makeup remover,0,0
468,i only used 2 facial cottons to remove my makeup,0,0
469,it is that great,1,1
470,just ensure not to pour too much of the solution onto your fails cotton as it will start to create foam when you are swiping the cotton over your face,0,0
471,overall it is a great product,1,1
472,I am loving it,1,1
473,the garnier micellar water is god sent,0,0
474,with just one wipe i can clean away my eyeliner,1,1
475,it helps a lot when i have eyelash extensions,0,0
476,the product is also very gentle on the skin,1,1
477,i have very sensitive skin around my lips but the product did not cause any reaction when i use it to wipe away my lipstick,0,0
478,amazing,1,1
479,the garnier micellar water is a gentle cleanser that removes make up in one swipe,1,1
480,it is not drying to the skin and is good for sensitive skin,1,1
481,i love how it remove my eye makeup by just one swipe and is so convenient to remove any other make up,1,1
482,its a nice product although im not really using make up but i think would-be useful for those busy women than you,1,1
483,i love how this product removes my makeup easily,1,1
484,it is also good for people with dry or sensitive skin,1,1
485,what is best is that it is not oily and it makes my face feels really smooth afterwards,1,1
486,the cleansing water is a five star product,0,0
487,i love how it remove my make up in a single swipe on my face,1,1
488,it does not have stony fragrance which is one thing i like,1,1
489,and most importantly it does not cause my skin to be dry indeed gentle to sensitive skin,1,1
490,i love love love this,1,1
491,love how this product removes most of my makeup at the end of each day,1,1
492,even though i have oily sensitive skin this product has never caused any issues at all,1,1
493,in fact it makes my skin feel extremely refreshed and helps to matthey my skin,1,1
494,i am currently using this product as my go to makeup remover because of how amazing it is,1,1
495,love,1,1
496,it does not leave my face feeling tight and stripped of moisture do not have to wash face after removing makeup with this product and wont break me out it also does not hurt the eyes when removing eye makeup,0,0
497,claims to remove light make up but it removes my heavy makeup wear as good too,0,0
498,also does not have an annoying aftermath of using where the skin feels uncomfortable like other cleansing water does,0,0
499,i feel squeaky clean after every use and even use it if im not wearing makeup but wants to clean my face,0,0
500,it does not leave my face feeling tight and stripped of moisture do not have to wash face after removing makeup with this product and wont break me out it also does not hurt the eyes when removing eye makeup,0,0
501,claims to remove light make up but it removes my heavy makeup wear as good too,0,0
502,also does not have an annoying aftermath of using where the skin feels uncomfortable like other cleansing water does,0,0
503,i feel squeaky clean after every use and even use it if im not wearing makeup but wants to clean my face,0,0
504,being blessed with ultra sensitive comb skin I am always searching for the ultimate facial cleanser,1,1
505,I have tried numerous cleansers and cleansing tools including clarisonic but they always make my skin feel tight and my face would itch the next few days causing unsightly dry patches of skin,0,0
506,but this micellar water is my holy grail it is easy to clean my make up and it does not strip my face of its natural oil,1,1
507,so glad to be given this opportunity to try this,1,1
508,as my face is combination skin so i do not like to use oily based makeup remover and yet this is the best worth product that i have used all the way,0,0
509,it clean all the makeup eye makeup lipstick,1,1
510,it is gentle on skin yet clean thoroughly,1,1
511,no remaining make up on cotton when i clean and time using toner,1,1
512,used for two nights and no redness or allergic reaction,-1,-1
513,i have combined skin and i dont feel tightness or tingling on cheeks area,1,1
514,will definitely recommend to friends,1,1
515,removed makeup effortlessly no tugging on eyelids especially to remove eyeliner and mascara,0,0
516,fully removed all makeup residue with just 2 cotton pads,0,0
517,face felt smooth and not drying after using the micellar water,1,1
518,I have switched to micellar type formulas an about a year ago and have tried various brands,0,0
519,lanier micellar cleaning stands out because it does not not sting my eyes,0,0
520,perfect for removing eye makeup,1,1
521,formula is not oily and gentle on the the skin,1,1
522,i have tested this product on my hands with makeup such as foundation eyeliner eyeshadow lipstick eyebrow products,0,0
523,application is really easy to use however it is really big and bulky for travel usage,0,0
524,application does not come with any weird smells or fragrance which is good which means that there int any additional ingredients,0,0
525,makeup is easily removed with this micellar water but it could not remove the liquid lipstick and left a smudge,0,0
526,after usage it leaves skin soft and smooth not tacky like the other brand i have used,1,1
527,overall good product,1,1
528,highly recommend,1,1
529,removes all my make up in one swipe and leaves no sticky residue behind,0,0
530,great for a fast cleanse with no work,1,1
531,does not case break out,-1,-1
532,there is no need for double cleaning,0,0
533,love this product since it has no fragrances and it wipes away my makeup in one swipe,0,0
534,it does leave any residue and does leave the skin dry,0,0
